Energetischer Holzverbrauch der privaten Haushalte;10.3220/PB1693810746000
Soil water retention and hydraulic conductivity measured in a wide saturation range;10.5194/essd-15-4417-2023
Infection with swim bladder nematode Anguillicola crassus in relation to European eel growth, age, and habitat along the German Baltic coast;10.3354/dao03739
Master track of METEOR cruise M185 in 1 sec resolution (zipped, 15.7 MB) [Datenpublikation];10.1594/PANGAEA.957633
Master tracks in different resolutions of METEOR cruise M185, Hamburg - Lisbon, 2022-10-30 - 2022-11-26 [Datenpublikation];10.1594/PANGAEA.957630
Incubation and first feeding of European smelt (Osmerus eperlanus, L.) eggs and larvae using conventional hatchery equipment [Datenpublikation];10.17882/93267
Archetypes in support of tailoring land-use policies;10.1088/1748-9326/acd802
Comparing the former EUTR and upcoming EUDR: Some implications for private sector and authorities;10.1016/j.forpol.2023.103079
Reduced fertilizer use - increased risk? Qualitative and quantitative analysis of economic risks and risk perceptions of German vegetable growers;10.17660/ActaHortic.2023.1375.15
Working Group on Crangon Fisheries and Life History (WGCRAN);10.17895/ices.pub.24220471
The 15N-Gas flux method for quantifying denitrification in soil: Current progress and future directions;10.1016/j.soilbio.2023.109108
International food trade contributes to dietary risks and mortality at global, regional and national levels;10.1038/s43016-023-00852-4
Interactive effects of agricultural management on soil organic carbon accrual: A synthesis of long-term field experiments in Germany;10.1016/j.geoderma.2023.116616
Resilience principles and a leverage points perspective for sustainable woody vegetation management in a social-ecological system of southwestern Ethiopia;10.5751/ES-14209-280234
Valuing beaches for beauty and recreation only? Uncovering perception bias through a hashtag analysis;10.1016/j.marpol.2023.105707
Science on ecosystems and people to support the Kunming-Montreal Global Biodiversity Framework;10.1080/26395916.2023.2220913
Flower strip effectiveness for pollinating insects in agricultural landscapes depends on established contrast in habitat quality: A meta-analysis;10.1002/2688-8319.12261
Biodiversity measures providing food and nesting habitat increase the number of bumblebee (Bombus terrestris) colonies in modelled agricultural landscapes;10.1016/j.agee.2023.108649
Socio-technical approaches are needed for innovation in fisheries;10.1080/23308249.2022.2047886
"Evolution of EU technical measures for the avoidance of unwanted catch in the light of scientific evaluation and advice from the STECF; the good, the bad, and the ugly";10.1093/icesjms/fsac037
Vegetation canopy height estimation in dynamic tropical landscapes with TanDEM-X supported by GEDI data;10.1111/2041-210X.13933
Biological durability and moisture dynamics of Dawn redwood (Metasequoia glyptostroboides) and Port Orford cedar (Chamaecyparis lawsoniana);10.1080/17480272.2022.2101941
Life satisfaction and mental health from age 17 to 21 years in a general population sample;10.1007/s12144-022-03685-9
Tracing the world’s timber: the status of scientific verification technologies for species and origin identification;10.1163/22941932-bja10097
Creatine: A valuable supplement in aquafeeds?;10.1111/raq.12717
LaForeT Governance assessments : Geospatial governance data of the LaForeT project [Datenpublikation];10.3220/DATA20240213131340-0
LaForeT Inventories : Forest inventory data of the LaForeT project [Datenpublikation];10.3220/DATA20240213131425-0
LaForeT Land cover and land use polygons from participatory mapping [Datenpublikation];10.3220/DATA20240213131637-0
3- und 5-Schicht Massivholzplatte (Durchschnitt DE) : ÖKOBAUDAT Version 2023-I vom 15.06.2023 [Datenpublikation];10.3220/DATA20240313095521-0
Balkenschichtholz (Durchschnitt DE) : ÖKOBAUDAT Version 2023-I vom 15.06.2023 [Datenpublikation];10.3220/DATA20240313103854-0
Brettschichtholz - Sonderformen (Durchschnitt DE) : ÖKOBAUDAT Version 2023-I vom 15.06.2023 [Datenpublikation];10.3220/DATA20240313121551-0
Brettschichtholz - Standardformen (Durchschnitt DE) : ÖKOBAUDAT Version 2023-I vom 15.06.2023 [Datenpublikation];10.3220/DATA20240313123431-0
Brettsperrholz (Durchschnitt DE) : ÖKOBAUDAT Version 2023-I vom 15.06.2023 [Datenpublikation];10.3220/DATA20240313145559-0
Furniersperrholz (Durchschnitt DE) : ÖKOBAUDAT Version 2023-I vom 15.06.2023 [Datenpublikation];10.3220/DATA20240313152348-0
Hobelware (Durchschnitt DE) : ÖKOBAUDAT Version 2023-I vom 15.06.2023 [Datenpublikation];10.3220/DATA20240313155710-0
Hochdichte Faserplatte (Durchschnitt DE) : ÖKOBAUDAT Version 2023-I vom 15.06.2023 [Datenpublikation];10.3220/DATA20240313170943-0
Spanplatte, roh (Durchschnitt DE) : ÖKOBAUDAT Version 2023-I vom 15.06.2023 [Datenpublikation];10.3220/DATA20240318151413-0
Holzfaserdämmstoff flexible Matte (Durchschnitt DE) : ÖKOBAUDAT Version 2023-I vom 15.06.2023 [Datenpublikation];10.3220/DATA20240318164524-0
