Dataset Name;Object Identifier;F1: FAIR Metrics Gen2- Unique Identifier;F1: FAIR Metrics Gen2 - Identifier Persistence;F1: FAIR Metrics Gen2 - Data Identifier Persistence;F2: FAIR Metrics Gen2 - Structured Metadata;F2: FAIR Metrics Gen2 - Grounded Metadata;F3: FAIR Metrics Gen2 - Data Identifier Explicitly In Metadata;F3: FAIR Metrics Gen2- Metadata Identifier Explicitly In Metadata;F4: FAIR Metrics Gen2 - Searchable in major search engine;A1.1: FAIR Metrics Gen2 - Uses open free protocol for data retrieval;A1.1: FAIR Metrics Gen2 - Uses open free protocol for metadata retrieval;A1.2: FAIR Metrics Gen2 - Data authentication and authorization;A1.2: FAIR Metrics Gen2 - Metadata authentication and authorization;A2: FAIR Metrics Gen2 - Metadata Persistence;I1: FAIR Metrics Gen2 - Metadata Knowledge Representation Language (weak);I1: FAIR Metrics Gen2 - Metadata Knowledge Representation Language (strong);I1: FAIR Metrics Gen2 - Data Knowledge Representation Language (weak);I1: FAIR Metrics Gen2 - Data Knowledge Representation Language (strong);I2: FAIR Metrics Gen2- Metadata uses FAIR vocabularies (weak);I2: FAIR Metrics Gen2 - Metadata uses FAIR vocabularies (strong);I3: FAIR Metrics Gen2 - Metadata contains qualified outward references);R1.1: FAIR Metrics Gen2 - Metadata Includes License (strong);R1.1: FAIR Metrics Gen2 - Metadata Includes License (weak);Average;;A;F;I;R;A1;F1;F2;F3;F4;I1;I2;I3;R1;R1.1;R1.2;R1.3;FAIR
Holzfaserdämmstoffplatte Trockenverfahren (Durchschnitt DE) : ÖKOBAUDAT Version 2023-I vom 15.06.2023 [Datenpublikation];10.3220/DATA20240318171943-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;57.14;75.0;50.0;33.33;100.0;50.0;0.0;50.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;54.17
Holzfaser-Einblasdämmstoff (Durchschnitt DE) : ÖKOBAUDAT Version 2023-I vom 15.06.2023 [Datenpublikation];10.3220/DATA20240319093728-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;57.14;75.0;50.0;33.33;100.0;50.0;0.0;50.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;54.17
Konstruktionsvollholz (Durchschnitt DE) : ÖKOBAUDAT Version 2023-I vom 15.06.2023 [Datenpublikation];10.3220/DATA20240319102956-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;57.14;75.0;50.0;33.33;100.0;50.0;0.0;50.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;54.17
Laubschnittholz - getrocknet (Durchschnitt DE) : ÖKOBAUDAT Version 2023-I vom 15.06.2023 [Datenpublikation];10.3220/DATA20240319155658-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;57.14;75.0;50.0;33.33;100.0;50.0;0.0;50.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;54.17
Massivholzparkett (Durchschnitt DE) : ÖKOBAUDAT Version 2023-I vom 15.06.2023 [Datenpublikation];10.3220/DATA20240319171710-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;57.14;75.0;50.0;33.33;100.0;50.0;0.0;50.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;54.17
Mehrschichtparkett (Durchschnitt DE) : ÖKOBAUDAT Version 2023-I vom 15.06.2023 [Datenpublikation];10.3220/DATA20240320095927-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;57.14;75.0;50.0;33.33;100.0;50.0;0.0;50.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;54.17
Mitteldichte Faserplatte (Durchschnitt DE) : ÖKOBAUDAT Version 2023-I vom 15.06.2023 [Datenpublikation];10.3220/DATA20240320103024-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;57.14;75.0;50.0;33.33;100.0;50.0;0.0;50.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;54.17
Nadelschnittholz - frisch (Durchschnitt DE) : ÖKOBAUDAT Version 2023-I vom 15.06.2023 [Datenpublikation];10.3220/DATA20240320105349-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;57.14;75.0;50.0;33.33;100.0;50.0;0.0;50.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;54.17
Nadelschnittholz - getrocknet (Durchschnitt DE) : ÖKOBAUDAT Version 2023-I vom 15.06.2023 [Datenpublikation];10.3220/DATA20240320111625-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;57.14;75.0;50.0;33.33;100.0;50.0;0.0;50.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;54.17
Oriented Strand Board (Durchschnitt DE) : ÖKOBAUDAT Version 2023-I vom 15.06.2023 [Datenpublikation];10.3220/DATA20240320124754-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;57.14;75.0;50.0;33.33;100.0;50.0;0.0;50.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;54.17
Röhrenspanplatte (Durchschnitt DE) : ÖKOBAUDAT Version 2023-I vom 15.06.2023 [Datenpublikation];10.3220/DATA20240320130205-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;57.14;75.0;50.0;33.33;100.0;50.0;0.0;50.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;54.17
Spanplatte - melaminbeschichtet (Durchschnitt DE) : ÖKOBAUDAT Version 2023-I vom 15.06.2023 [Datenpublikation];10.3220/DATA20240320131706-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;57.14;75.0;50.0;33.33;100.0;50.0;0.0;50.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;54.17
The influence of the osmotic potential on evapotranspiration;10.3390/w15112031;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;0;0;100;0;0;45;;33.33;71.43;25.0;30.0;33.33;100.0;100.0;0.0;50.0;0.0;0.0;100.0;25.0;0.0;50.0;50.0;41.67
Economic damage assessment of forest disturbances on forestry: State of knowledge and challenges for a continuous economic loss monitoring in Germany;10.23765/afjz00092;100;100;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;18;;0.0;21.43;0.0;0.0;0.0;75.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.25
LaForeT Ground control points and Landscape borders [Datenpublikation];10.3220/DATA20240213131557-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;57.14;75.0;50.0;33.33;100.0;50.0;0.0;50.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;54.17
LaForeT Livelihoods : Livelihood data based on a transnational household survey of the LaForeT project [Datenpublikation];10.3220/DATA20240213131502-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;57.14;75.0;50.0;33.33;100.0;50.0;0.0;50.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;54.17
Bleibeorientierung Geflüchteter, die Rolle der Aufnahmegesellschaft und Haltestrategien der Lokalpolitik;10.1007/978-3-658-36689-6_6;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;66.67;71.43;100.0;30.0;66.67;100.0;100.0;0.0;50.0;100.0;100.0;100.0;25.0;0.0;50.0;50.0;58.33
Change points in marine recreational fisheries - the impact of stock status and fisheries regulations: A case from the western Baltic Sea;10.1016/j.fishres.2022.106548;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;0.0;28.57;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.33
Potential biases in angler diary data: The impact of the diarist recruitment process on participation rates, catch, harvest, and effort estimates;10.1016/j.fishres.2022.106551;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;35.71;75.0;20.0;33.33;100.0;25.0;0.0;0.0;50.0;100.0;100.0;0.0;0.0;50.0;50.0;35.42
Sexual reproduction in two mixed stands of coastal and interior Douglas-fir (Pseudotsuga menziesii (Mirb.) Franco) in Germany;10.1007/s10342-022-01514-z;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;66.67;71.43;100.0;50.0;66.67;100.0;100.0;0.0;50.0;100.0;100.0;100.0;25.0;100.0;50.0;50.0;66.67
Greenhouse gas emissions from Silphium perfoliatum and silage maize cropping on Stagnosols;10.1002/jpln.202200014;100;100;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;18;;0.0;21.43;0.0;0.0;0.0;75.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.25
